Parsing Opcorpora --->
Parsing is finished
The results of processing:
 Слов рассмотренно : 981315
 Нераспознано слов : 19.856722866765512 %
 Точность определения леммы слова : 75.02315974492902 %
 Статистика по леммам :
---
много 309 NUMR
поднялся 309 VERB
лорд 306 NOUN
даю 305 VERB
имею 305 VERB
магл 304 NOUN
раздался 303 VERB
сэр 299 NOUN
день 298 NOUN
лестница 296 NOUN
следующий 296 PRTF
ладно 295 ADVB
выглядел 287 VERB
по-прежнему 285 ADVB
туда 283 ADVB
метла 280 NOUN
земля 280 NOUN
затем 276 ADVB
кроме 275 PREP
открыл 274 VERB
удался 273 VERB
вопрос 273 NOUN
пол 273 NOUN
совершенен 272 ADJS
показался 271 VERB
очко 270 NOUN
надеюсь 269 VERB
боюсь 267 VERB
что-нибудь 266 NPRO
получил 265 VERB
знаешь 264 CONJ
ухо 264 NOUN
хотелось 263 VERB
шрам 262 NOUN
странный 261 ADJF
медленно 261 ADVB
помню 260 VERB
уверен 260 ADJS
пора 260 NOUN
встал 258 VERB
взглянул 258 VERB
пол 256 ADJS
прошлый 256 ADJF
дальше 256 COMP
класс 256 NOUN
чувствую 255 VERB
прежде 255 PREP
магический 254 ADJF
пять 253 NUMR
тело 253 NOUN
рассказал 252 VERB
скорее 251 CONJ
схватил 250 VERB
улыбнулся 250 VERB
упал 250 VERB
бросил 248 VERB
собираюсь 246 VERB
забыл 243 VERB
почувствовал 243 VERB
карман 243 NOUN
протянул 242 VERB
билл 242 NOUN
остальной 240 ADJF
кресло 239 NOUN
вообще 239 CONJ
команда 239 NOUN
работа 238 NOUN
хвост 237 NOUN
ужас 236 NOUN
делать 236 INFN
случился 236 VERB
зачем 235 ADVB
каменный 234 ADJF
собственный 234 ADJF
держу 233 VERB
крик 233 NOUN
мама 232 NOUN
неделя 232 NOUN
миг 232 NOUN
всякий 231 NPRO
нельзя 230 PRED
высокий 230 ADJF
сделать 229 INFN
пришёл 229 VERB
прав 228 ADJS
трое 228 NUMR
к 228 PREP
пустой 228 ADJF
разве 228 INTJ
мгновение 227 NOUN
помощь 227 NOUN
лучший 227 ADJF
вниз 226 ADVB
разговор 225 NOUN
седрик 224 NOUN
кивнул 224 VERB
сердце 223 NOUN
равно 223 ADVB
рота 223 NOUN
говорить 222 INFN
поттер 221 NOUN
боль 221 NOUN
слегка 221 ADVB
скоро 220 ADVB
кровать 220 NOUN
сколько 219 NUMR
угол 219 NOUN
дал 219 VERB
родитель 218 NOUN
пожалуйста 218 INTJ
зелье 217 NOUN
спасибо 217 NOUN
камин 216 NOUN
перо 216 NOUN
сообщил 216 VERB
исчез 215 VERB
кубок 215 NOUN
ответ 214 NOUN
обратно 214 ADVB
оставил 214 VERB
иду 214 VERB
звук 214 NOUN
пробормотал 213 VERB
остановился 213 VERB
вода 213 NOUN
целый 212 ADJF
единственный 211 ADJF
улыбка 211 NOUN
попытался 211 VERB
десять 210 NUMR
кровь 210 NOUN
раньше 209 COMP
резко 209 ADVB
гляжу 209 VERB
прошу 209 VERB
пришёлся 208 VERB
защита 208 NOUN
общий 208 ADJF
директор 208 NOUN
повторил 208 VERB
силён 207 ADJS
прошёл 207 VERB
принялся 206 VERB
дорога 206 NOUN
улица 206 NOUN
откуда 205 ADVB
жду 204 VERB
кто-нибудь 204 NPRO
знаете 204 CONJ
брат 203 NOUN
следую 203 VERB
против 203 PREP
проговорил 203 VERB
лес 203 NOUN
эльф 203 NOUN
спальня 203 NOUN
знать 202 NOUN
хозяин 201 NOUN
флера 201 NOUN
вроде 200 PREP
по-моему 200 ADVB
портрет 200 NOUN
спина 199 NOUN
сел 199 VERB
бросился 199 VERB
камень 198 NOUN
вечер 197 NOUN
некоторый 197 ADJF
внимание 197 NOUN
небо 196 NOUN
нужен 196 ADJS
уставился 195 VERB
произнёс 195 VERB
среди 194 PREP
многие 194 NPRO
доволен 194 ADJS
громкий 192 ADJF
серебряный 191 ADJF
двинулся 190 VERB
вместо 189 PREP
мать 189 NOUN
убил 189 VERB
возможно 188 ADVB
пергамент 188 NOUN
из-под 188 PREP
дерево 187 NOUN
труд 187 NOUN
нахожусь 186 VERB
помог 186 VERB
холодный 185 ADJF
отозвался 185 VERB
слушаю 185 VERB
кухня 184 NOUN
пусть 184 PRCL
разумеюсь 184 VERB
ж 183 NOUN
вверх 183 ADVB
известен 181 ADJS
согласился 180 VERB
гоблин 180 NOUN
шляпа 180 NOUN
министр 179 NOUN
губа 179 NOUN
пара 178 NOUN
змея 178 NOUN
грудь 178 NOUN
ясен 178 ADJS
показал 178 VERB
толпа 177 NOUN
вспомнил 177 VERB
поэтому 177 ADVB
действительно 176 ADVB
давно 175 ADVB
миро 174 NOUN
заявил 174 VERB
сей 174 ADJF
огонь 174 NOUN
колено 174 NOUN
объяснил 173 VERB
моя 173 GRND
обычный 172 ADJF
путь 172 NOUN
послышался 171 VERB
пытаясь 170 GRND
спин 170 NOUN
чемодан 169 NOUN
вошёл 169 VERB
отправился 168 VERB
карта 168 NOUN
память 168 NOUN
остаюсь 167 VERB
позволил 167 VERB
вытащил 166 VERB
стараюсь 166 VERB
поймал 166 VERB
сын 165 NOUN
вновь 165 ADVB
момент 164 NOUN
перестал 164 VERB
меньше 164 COMP
вслед 163 PREP
поскольку 162 CONJ
долог 162 ADJS
букля 162 NOUN
хороший 162 ADJF
спокойно 160 ADVB
семья 160 NOUN
папа 160 NOUN
чувство 160 NOUN
девочка 159 NOUN
обернулся 159 VERB
судя 159 GRND
верно 159 CONJ
возразил 158 VERB
наверняка 158 ADVB
поспешил 158 VERB
след 158 NOUN
домашний 157 ADJF
вскочил 157 VERB
тяжело 157 ADVB
происхожу 157 VERB
история 156 NOUN
столько 156 NUMR
предмет 155 NOUN
добавил 155 VERB
ладонь 155 NOUN
увидев 154 GRND
школьный 154 ADJF
стараясь 154 GRND
увидеть 154 INFN
вовсе 154 ADVB
меч 154 NOUN
порядок 154 NOUN
фигура 154 NOUN
видно 154 PRED
ближе 153 COMP
ожидаю 153 VERB
тон 153 NOUN
понять 152 INFN
внезапно 152 ADVB
раз 152 NOUN
выходил 152 VERB
должно 151 PRED
страх 151 NOUN
произошёл 150 VERB
вздохнул 150 VERB
найти 150 INFN
возможность 149 NOUN
джеймс 149 NOUN
никак 148 ADVB
простил 147 VERB
спустя 147 PREP
убить 147 INFN
отсюда 147 ADVB
башня 146 NOUN
горазд 146 ADJS
четыре 146 NUMR
сумка 146 NOUN
дина 145 NOUN
закрыл 145 VERB
рад 145 ADJS
внутри 145 PREP
темнота 145 NOUN
такая 144 GRND
велел 144 VERB
план 144 NOUN
выслал 143 VERB
существо 143 NOUN
вечером 143 ADVB
похожий 143 ADJF
стул 143 NOUN
оглянулся 143 VERB
курс 143 NOUN
факультет 142 NOUN
заговорил 142 VERB
люблю 142 VERB
экзамен 141 NOUN
игра 141 NOUN
сон 141 NOUN
лоб 141 NOUN
красное 141 NOUN
стоявший 141 PRTF
становлюсь 141 VERB
орден 140 NOUN
очередной 140 ADJF
ищу 140 VERB
впрочем 140 CONJ
покачал 140 VERB
хижина 140 NOUN
всеял 140 VERB
позади 139 ADVB
крепок 139 ADJS
этаж 139 NOUN
месяц 138 NOUN
матч 138 NOUN
неужели 138 INTJ
часть 138 NOUN
сердит 138 ADJS
дракон 137 NOUN
язык 137 NOUN
крыло 137 NOUN
край 137 NOUN
артур 137 NOUN
преподаватель 137 NOUN
закончил 136 VERB
где-то 136 ADVB
вернуться 136 INFN
утро 136 NOUN
видеть 136 INFN
надежда 135 NOUN
умер 135 VERB
мгновенно 135 ADVB
достал 135 VERB
наступил 135 VERB
выражение 134 NOUN
втора 134 NOUN
гот 134 NOUN
страшный 134 ADJF
добрый 134 ADJF
мал 134 ADJS
мяч 133 NOUN
дорогой 133 ADJF
нравлюсь 133 VERB
удивился 132 VERB
тороплив 132 ADJS
двое 132 NUMR
предложил 132 VERB
выше 131 COMP
рита 131 NOUN
пора 131 PRED
бледный 131 ADJF
обычно 131 ADVB
шум 131 NOUN
рот 129 NOUN
верю 129 VERB
ударил 129 VERB
женщина 129 NOUN
сестра 129 NOUN
номер 128 NOUN
немедлен 128 ADJS
бегу 128 VERB
шепнул 128 VERB
взять 128 INFN
кричу 127 VERB
особен 126 ADJS
читаю 126 VERB
мисс 126 NOUN
прекрасно 126 ADVB
узнать 126 INFN
удар 125 NOUN
двадцать 125 NUMR
пожал 125 VERB
кусок 125 NOUN
молча 125 ADVB
грозный 125 ADJF
завопил 125 VERB
ближайший 125 ADJF
полагаю 124 VERB
второе 124 NOUN
пойти 124 INFN
ах 124 INTJ
кольцо 124 NOUN
возник 124 VERB
обратился 124 VERB
задание 124 NOUN
правда 123 NOUN
учебник 123 NOUN
закричал 123 VERB
встреча 123 NOUN
завтра 122 ADVB
сунул 122 VERB
отдал 122 VERB
шея 122 NOUN
хожу 122 VERB
чара 122 NOUN
половина 121 NOUN
попросил 121 VERB
занятие 121 NOUN
поспешно 121 ADVB
сомневаюсь 121 VERB
ум 121 NOUN
переспросил 121 VERB
радостно 120 ADVB
опустил 120 VERB
выскочил 120 VERB
тайна 120 NOUN
магазин 119 NOUN
думать 119 INFN
смотреть 119 INFN
ход 119 NOUN
ветер 119 NOUN
образ 119 NOUN
разный 118 ADJF
хватил 118 VERB
поинтересовался 118 VERB
яйцо 118 NOUN
живой 118 NOUN
ради 118 PREP
слеза 118 NOUN
утром 118 ADVB
как-то 117 ADVB
меря 117 NOUN
побежал 117 VERB
вырвался 116 VERB
искусство 116 NOUN
оттуда 116 ADVB
видим 116 PRTS
заставил 116 VERB
волшебство 116 NOUN
прибавил 116 VERB
интересен 116 ADJS
поставил 116 VERB
какой-нибудь 116 ADJF
привет 116 NOUN
лаванда 115 NOUN
турнир 115 NOUN
страница 115 NOUN
семь 115 NUMR
что-то 115 NPRO
речь 115 NOUN
холоден 115 ADJS
представляю 115 VERB
правильно 115 ADVB
зуб 114 NOUN
сотня 114 NOUN
любой 114 ADJF
близнец 114 NOUN
палатка 114 NOUN
обнаружил 114 VERB
работаю 114 VERB
метр 114 NOUN
шлю 114 VERB
свободный 114 ADJF
ряд 113 NOUN
вещ 113 ADJS
крайний 113 ADJF
иначе 113 CONJ
тарелка 113 NOUN
странен 113 ADJS
настоящий 113 ADJF
нашёл 113 VERB
густой 112 ADJF
озеро 112 NOUN
вход 112 NOUN
счастье 112 NOUN
лечу 112 VERB
прихожусь 112 VERB
говоря 112 GRND
долгий 112 ADJF
дама 112 NOUN
волшебница 112 NOUN
подтвердил 112 VERB
пламя 112 NOUN
впереди 111 ADVB
гигантский 111 ADJF
встретил 111 VERB
фотография 111 NOUN
ребята 111 NOUN
итак 111 CONJ
поглядел 111 VERB
хуже 111 COMP
желаю 110 VERB
рассказываю 110 VERB
отдел 110 NOUN
спустился 110 VERB
душу 110 VERB
глубокий 110 ADJF
попробовал 110 VERB
вона 110 NOUN
попытка 110 NOUN
член 110 NOUN
ушёл 110 VERB
тонкий 110 ADJF
опустился 110 VERB
клык 109 NOUN
вылетел 109 VERB
сумел 109 VERB
способ 109 NOUN
ужасный 109 ADJF
знакомый 109 ADJF
поезд 109 NOUN
смех 109 NOUN
ага 109 INTJ
негромко 108 ADVB
осторожно 108 ADVB
пишу 108 VERB
вполне 108 ADVB
вопль 107 NOUN
идти 107 INFN
помочь 107 INFN
клетка 107 NOUN
насколько 107 ADVB
любая 106 NPRO
дар 106 NOUN
снял 106 VERB
поиск 105 NOUN
медальон 105 NOUN
крошечный 105 ADJF
игрок 105 NOUN
ничто 105 NPRO
мраморный 105 ADJF
размер 105 NOUN
способен 105 ADJS
серебристый 105 ADJF
подарок 104 NOUN
мальчишка 104 NOUN
захотел 104 VERB
плох 104 ADJS
цвета 104 NOUN
великан 104 NOUN
сплю 103 VERB
далёк 103 ADJS
зеркало 103 NOUN
живоглот 103 NOUN
вряд 103 ADVB
играю 103 VERB
важный 102 ADJF
менее 102 ADVB
здорово 102 ADVB
звучу 102 VERB
мрачен 102 ADJS
принял 102 VERB
